P29829	Q9NFZ3
P07207	P28159
P91654	P23573
P48609	Q9VNA5
Q8T8W4	Q9VZF4
P23573	Q6NLL1
O46100	P23573
Q5U0Z2	P23573
Q7K4M9	P23573
P49762	Q23983
Q02910	P48609
Q8T8W4	P49762
Q9W4S7	P23573
P23573	Q9VSF5
Q24159	P23573
Q961D1	P23573
P48609	Q8SWS1
P48609	P25008
Q9VGN7	P23573
P23573	Q8T3L3
P23573	Q9VJ42
Q9VRB7	P29310
Q24036	P23573
P23573	P48601
P23573	O76523
P28518	P23573
Q8IGS9	P23573
P23573	Q9W1L8
P48601	Q9VFL8
Q9VJZ6	P23573
P23573	Q9W0M9
Q27415	P23573
P23573	Q9VTE9
P23573	Q9VXM1
Q9V813	Q24337
P23573	Q9V3B4
P23573	1632104
P25439	P11147
Q08012	Q8T4F7
P51140	Q24279
P07207	Q24279
P16371	P91943
P14599	P34082
Q9GQQ6	P34082
Q9XTN2	P29310
Q9XZ56	Q9V345
Q9XZ56	Q9W328
Q95V55	P29310
Q86B79	Q9W328
Q9W328	Q9VHL2
Q9W328	Q9VXQ5
Q9W328	Q9VTE5
Q9W328	A1Z813
Q9W328	Q9VPN5
Q9W328	Q9VNF8
Q9W328	Q9VK45
Q9W328	Q9W437
Q9W328	Q7JXA2
Q9V719	Q9W328
Q9VWJ6	Q9W328
Q9VW83	P29310
Q9VCC9	P29310
Q9VH80	P05661
Q8I9J6	Q95RJ9
P05205	Q9VCB8
P05205	Q7YU66
Q9VVH7	P05205
Q9VVN4	P05205
Q9VVN4	P02299
Q8SX86	P12881
P05205	Q9W0Z5
P02828	P92204
FBgn0000014	P02828
FBgn0262656	P02828
FBgn0004647	P02828
FBgn0000210	P02828
P02828	FBgn0004009
FBgn0243512	P02828
P02828	FBgn0004635
FBgn0001137	P02828
P02828	FBgn0011278
FBgn0024250	P02828
FBgn0000276	P02828
FBgn0013279	P02828
P02828	FBgn0001230
P02828	FBgn0005640
FBgn0000448	P02828
FBgn0260642	P02828
P02828	FBgn0014388
FBgn0005672	P02828
P02828	FBgn0004197
FBgn0000492	P02828
P02828	FBgn0003512
FBgn0039044	P02828
FBgn0262451	P02828
FBgn0001233	P02828
FBgn0029123	P02828
P02828	FBgn0041087
6142919	P02828
FBgn0004569	P02828
P02828	FBgn0003463
FBgn0001223	P02828
P02828	FBgn0004110
P02828	FBgn0003997
P02828	FBgn0037354
P02828	FBgn0026319
P02828	FBgn0001225
P02828	FBgn0003984
P07207	P51140
Q01069	P16371
P16371	Q01070
P16371	P13097
P13096	P16371
P16371	P13098
P16371	Q01068
Q01071	P16371
P14003	P16371
P16371	P22814
P23645	Q960X8
P07207	Q960X8
Q24210	Q02280
P31007	Q02280
Q00168	Q24210
Q9VBX2	Q9V3J8
Q9VJ73	Q9V3J8
Q9V444	Q9V3J8
Q7KSD8	Q9V3J8
Q9VLL1	Q9V3J8
P84040	2913213
P02299	2913213
2507646	O18640
Q24322	Q9VJB6
Q24322	P33450
Q24322	P29310
P18431	Q9VSK6
P18431	Q9VQQ4
P18431	Q9VIU5
P18431	Q9W4M7
P18431	2507646
P18431	Q8IPN1
P18431	Q9VXW2
P18431	P83101
P18431	Q24025
P18431	Q9W4G6
P18431	Q8I8U7
P18431	P84051
P18431	Q9VNE0
P18431	Q9VBP3
P18431	Q9VM75
P18431	Q95TN8
P18431	O15943
P18431	P38979
P18431	Q9NIV1
P18431	A1Z7A6
P18431	Q9W053
P18431	Q9VCD8
P18431	165588
P18431	P33450
P18431	Q7K3L1
P18431	Q9VL72
P18431	Q9VJ35
P18431	Q400N1
P18431	Q9VZ77
P18431	Q9W0M1
P18431	Q9VIC7
P18431	Q9VSL8
P18431	Q9VPI9
P18431	Q9VH10
P18431	Q9VLT5
P18431	Q9VEZ3
P18431	Q9VCM6
P18431	Q07171
P18431	Q9VXQ2
P18431	Q9VAV5
P18431	Q9VRV9
P18431	Q9VZG5
P18431	Q9V491
P18431	Q9VX26
P18431	Q9VUQ9
P18431	Q7KTW3
P18431	Q9VZ30
P18431	2507728
P18431	A1ZA18
P18431	Q8IQ69
P18431	Q9VKG8
P18431	Q9VGN5
P18431	Q8SY39
P18431	P19351
P18431	2509224
P18431	Q9VVE2
P18431	2507926
P18431	Q9VW23
P18431	Q9W2H2
P18431	Q9VJC4
P18431	Q8IRV8
P18431	Q9VN25
P18431	Q9VZQ3
P18431	O77283
P18431	P17276
P18431	Q7KT60
P18431	Q9VJX4
P18431	Q9VJC6
P18431	Q9VPR5
P18431	Q9V496
P18431	Q9VH01
P18431	Q59E58
P18431	Q9VWD4
P18431	Q9VGK1
P18431	Q9VUV9
P18431	Q7KMH5
P18431	A1Z8Q2
P18431	P35415
P18431	Q9V9T4
P18431	A1ZAV3
P18431	Q9VQ08
P18431	Q9VF92
P18431	M9MSG3
P18431	Q9W1S3
P18431	Q9W3E1
P18431	Q9VNA1
P18431	2508155
P18431	Q9W3W6
P18431	Q7KN75
P18431	Q9NGC3
P18431	Q86B73
P18431	Q9VAH7
P18431	Q8IMJ2
P18431	2509221
P18431	A1Z9S6
P18431	Q9VU76
P18431	Q9VHD0
P18431	Q9VYY7
P18431	Q07553
P18431	Q9W2Z3
P18431	Q9VBX1
P18431	Q9VAY2
P18431	P26686
P18431	Q9VTY8
P18431	Q9VNV2
P18431	Q9VEE5
P18431	P51123
P18431	A1ZAX1
P18431	Q9VB44
P18431	191854
P18431	Q9W3G3
P18431	Q9VVK2
P18431	Q9VNV3
P18431	Q9VT45
P18431	Q9VRG5
P18431	Q9VU27
P18431	Q9VWN4
P18431	Q7JQ32
P18431	Q9VC96
P18431	Q8MSS1
P18431	Q9VBJ2
P18431	A1Z6Z9
P18431	P36188
Q9VMV9	Q9VXE0
Q9VMV9	P18431
Q9VMV9	P08181
Q9VMV9	A1Z7T0
P34082	Q9V3P0
P34082	P05661
P34082	Q9V719
P34082	P45843
P34082	173411
P34082	P07487
P34082	Q9VX48
P34082	P49455
P34082	P18171
P34082	Q8IQA6
P34082	Q9W3X0
P34082	Q7YZA2
P34082	P46863
P34082	Q26365
P34082	Q9W4G6
P34082	A1Z6L9
P34082	O16797
P34082	P98081
P34082	P48605
P34082	M9MSG3
P34082	Q05344
P34082	O18413
P34082	Q06559
P34082	Q7KT77
P34082	P53501
P34082	Q7K2B0
P34082	Q9W3L1
P34082	Q27331
P34082	Q9V9M7
P34082	Q9VG78
P34082	Q00963
P34082	Q9NJH0
P34082	2507881
P34082	Q9VR91
P34082	Q9W179
P34082	Q24498
P34082	P32100
P34082	P13060
P34082	Q9V496
P34082	139510
P34082	Q7JUV6
P34082	P06603
P34082	Q9VAW1
P34082	Q9VD07
P34082	Q9VSE6
P34082	Q9VFF3
P34082	Q9VCH4
P34082	Q8IMP6
P34082	P46223
P34082	Q9VAV5
P34082	Q9VTP4
P34082	Q59E65
P34082	Q9VM62
P34082	Q9VM67
P34082	P09180
P34082	Q9V8R9
P34082	Q9W3W8
P34082	174496
P34082	Q7KN62
P34082	P41042
P34082	Q9VPC0
P34082	Q9VKV1
P34082	Q9VBU7
P34082	Q9W0S7
P34082	Q9VFG3
P34082	Q9VTQ3
P34082	Q9VFE7
P34082	Q9VA35
P34082	Q9VPC1
P34082	Q6J5K9
P34082	2507926
P34082	Q9W4K8
P34082	Q9W394
P34082	P40794
P34082	Q9W0F4
P34082	Q9W4Y4
P34082	Q8IM86
P34082	Q9VPW5
P34082	O61380
P34082	P35820
P34082	Q9VFA0
P34082	Q8SXR4
P34082	Q9VC54
P34082	O17468
P34082	Q9VFD3
P34082	Q9VPI9
P34082	O18640
P34082	Q9VS84
P34082	Q9VJG2
P34082	Q9W0E8
